Messier_Name,RA,DEC
Messier 1,83.63308333,22.0145
Messier 2,-36.63741666999999,-0.82325
Messier 3,-154.45158333,28.37727778
Messier 4,-114.10325,-26.52575
Messier 5,-130.36158333,2.08102778
Messier 6,-94.91666666999998,-32.25333333
Messier 7,-91.53750000000002,-34.79333333
Messier 8,-89.09583333,-24.38666667
Messier 9,-100.20091667000003,-18.51625
Messier 10,-105.71229167000001,-4.10030556
Messier 11,-77.22916666999998,-6.27
Messier 12,-108.19091667000001,-1.94852778
Messier 13,-109.576525,36.46131944
Messier 14,-95.59937500000001,-3.24591667
Messier 15,-37.506958329999975,12.167
Messier 16,-85.30000000000001,-13.80666667
Messier 17,-84.80416666999997,-16.17166667
Messier 18,-85.00833333000003,-17.10166667
Messier 19,-104.34295832999999,-26.26794444
Messier 20,-89.32499999999999,-22.97166667
Messier 21,-88.94583333000003,-22.49
Messier 22,-80.90025000000003,-23.90475
Messier 23,-90.73333333,-18.985
Messier 24,-85.80000000000001,-18.55
Messier 25,-82.05416666999997,-19.11666667
Messier 26,-78.67500000000001,-9.38333333
Messier 27,-60.098486630000025,22.72119788
Messier 28,-83.86295833000003,-24.86983333
Messier 29,-54.016666670000006,38.52333333
Messier 30,-34.90783333000002,-23.17986111
Messier 31,10.68470833,41.26875
Messier 32,10.67427083,40.86516944
Messier 33,23.4621,30.65994167
Messier 34,40.52083333,42.76166667
Messier 35,92.225,24.33333333
Messier 36,84.075,34.14
Messier 37,88.075,32.55333333
Messier 38,82.17916667,35.855
Messier 39,-37.05000000000001,48.43333333
Messier 40,-174.45,58.08333333
Messier 41,101.50416667,-20.75666667
Messier 42,83.82208333,-5.39111111
Messier 43,83.87916667,-5.27
Messier 44,130.1,19.66666667
Messier 45,56.75,24.11666667
Messier 46,115.44166667,-14.81
Messier 47,114.14583333,-14.48333333
Messier 48,123.42916667,-5.75
Messier 49,-172.55500833,8.00041111
Messier 50,105.69791667,-8.33777778
Messier 51,-157.530425,47.19525833
Messier 52,-8.800000000000011,61.59333333
Messier 53,-161.76979167,18.16816667
Messier 54,-76.23612500000002,-30.47986111
Messier 55,-65.00120833,-30.96475
Messier 56,-70.85179167000001,30.18347222
Messier 57,-76.60376267999999,33.02913421
Messier 58,-170.56834583,11.81808889
Messier 59,-169.490325,11.64693056
Messier 60,-169.0833,11.55261111
Messier 61,-174.52113535,4.47377454
Messier 62,-104.69749999999999,-30.11236111
Messier 63,-161.04469228,42.02936836
Messier 64,-165.81793333,21.68265833
Messier 65,169.73315417,13.09221111
Messier 66,170.06260833,12.99128889
Messier 67,132.825,11.8
Messier 68,-170.13341667,-26.74405556
Messier 69,-82.15375,-32.34808333
Messier 70,-79.19683333,-32.29211111
Messier 71,-61.55629167000001,18.77919444
Messier 72,-46.63458333,-12.53730556
Messier 73,-45.25,-12.63333333
Messier 74,24.17405,15.78346111
Messier 75,-58.479829170000016,-21.92226111
Messier 76,25.58191863,51.57543143
Messier 77,40.66987917,-0.01328889
Messier 78,86.69083333,0.07916667
Messier 79,81.044125,-24.52425
Messier 80,-115.73995833000001,-22.97608333
Messier 81,148.88822109,69.0652947
Messier 82,148.96845833,69.67970278
Messier 83,-155.74617083,-29.86576111
Messier 84,-173.73440279,12.88698314
Messier 85,-173.64977917,18.19108056
Messier 86,-173.450775,12.94596944
Messier 87,-172.29406924,12.39112329
Messier 88,-172.00326667,14.42041111
Messier 89,-171.08413607,12.55634189
Messier 90,-170.79243333,13.16286944
Messier 91,-171.139875,14.49631944
Messier 92,-100.71920833000001,43.13594444
Messier 93,116.125,-23.85666667
Messier 94,-167.27855,41.12015278
Messier 95,160.99038221,11.70378539
Messier 96,161.6906,11.81993889
Messier 97,168.69880209,55.0190237
Messier 98,-176.54878333,14.90046944
Messier 99,-175.29322917,14.41648889
Messier 100,-174.27111715,15.82230397
Messier 101,-149.19757083,54.34875
Messier 102,-133.37682917,55.76330833
Messier 103,23.34583333,60.65
Messier 104,-170.00236729,-11.62305428
Messier 105,161.95666667,12.58163056
Messier 106,-175.25991667,47.30371944
Messier 107,-111.86725000000001,-13.05377778
Messier 108,167.87902917,55.67412222
Messier 109,179.39993333,53.37451944
Messier 110,10.09189356,41.68541564
